96 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,EC     ,DIPPPT ,4727,4727, OBC/X/M ,N,1,2025
97 ,BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT JABALPUR , Private ,MECH   ,DIPPPT ,1041,1041, OBC/X/M ,N,1,2025
98  ,Bagulamukhi College of Technology Bhopal (2009), Private ,CIVIL    ,BSC    ,4688 ,4688, UR/X/M ,N,1,2025
99  ,Bagulamukhi College of Technology Bhopal (2009), Private ,CIVIL    ,DIPPPT , 343 ,4703, UR/X/M ,N,13,2025
100 ,Bagulamukhi College of Technology Bhopal (2009), Private ,CSE      ,DIPPPT , 51  , 51 , UR/X/M ,N,1,2025
101 ,Bagulamukhi College of Technology Bhopal (2009), Private ,EE       ,DIPPPT , 116 ,2546, UR/X/F ,N,2,2025
102 ,Bagulamukhi College of Technology Bhopal (2009), Private ,EE       ,DIPPPT , 411 ,4434, UR/X/M ,N,15,2025
103 ,Bagulamukhi College of Technology Bhopal (2009), Private ,MECH     ,DIPPPT , 775 ,3712, UR/X/M ,N,3,2025
104 ,Bagulamukhi College of Technology Bhopal (2009), Private ,MECH     ,BSC    , 4795,4795, UR/X/M ,N,1,2025
105 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CIVIL       ,DIPPPT , 994, 994, UR/X/F  ,N,1,2025
106 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CIVIL       ,DIPPPT , 44 ,2604, OBC/X/F ,N,2,2025
107 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CIVIL       ,DIPPPT ,2058,4100, UR/X/M  ,N,2,2025
108 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CIVIL       ,DIPPPT ,1759,4504, OBC/X/M ,N,5,2025
109 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,DIPPPT , 107, 107, SC/X/F  ,N,1,2025
110 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,DIPPPT ,1379,1379, OBC/X/F ,N,1,2025
111 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,BSC    ,1808,1808, UR/X/M  ,N,1,2025
112 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,DIPPPT ,1347,4045, UR/X/M  ,N,2,2025
113 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,DIPPPT , 761,4080, UR/X/F  ,N,2,2025
114 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,DIPPPT ,2756,4393, OBC/X/M ,N,5,2025
115 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,DIPPPT ,4621,4621, SC/X/M  ,N,1,2025
116 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSE         ,BSC    ,3611,4685, OBC/X/M ,N,3,2025
117 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSEIML      ,DIPPPT ,3622,4133, UR/X/F  ,N,2,2025
118 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,CSEIML      ,DIPPPT ,4477,4477, OBC/X/M ,N,1,2025
119 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,EC          ,DIPPPT ,3948,3948, OBC/X/M ,N,1,2025
120 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,EC          ,DIPPPT , 425, 425, UR/X/M  ,N,1,2025
121 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,EC          ,DIPPPT ,1636,1636, SC/X/M  ,N,1,2025
122 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,ELECT ELEX  ,DIPPPT ,2108,3951, OBC/X/M ,N,7,2025
123 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,ELECT ELEX  ,DIPPPT ,4098,4098, ST/X/M  ,N,1,2025
124 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,ELECT ELEX  ,DIPPPT ,4307,4307, SC/X/M  ,N,1,2025
125 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,ELECT ELEX  ,DIPPPT ,3315,4405, UR/X/M  ,N,3,2025
126 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,MECH        ,DIPPPT ,3138,3375, SC/X/M  ,N,2,2025
127 ,Bansal College of Engineering Obedullaganj Raisen (2002), Private ,MECH        ,DIPPPT ,4065,4065, UR/X/M  ,N,1,2025
128 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CIVIL        ,DIPPPT ,4014 ,4014 , ST/X/M  ,N,1,2025
129 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CIVIL        ,DIPPPT ,3878 ,4264 , UR/X/M  ,N,2,2025
130 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CSE          ,DIPPPT ,2643 ,2643 , OBC/X/F ,N,1,2025
131 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CSE          ,DIPPPT ,3398 ,3398 , ST/X/F  ,N,1,2025
132 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CSE          ,DIPPPT ,1740 ,3520 , SC/X/F  ,N,2,2025
133 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CSE          ,DIPPPT , 903 ,4431 , OBC/X/M ,N,6,2025
134 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,CSE          ,DIPPPT , 427 ,4483 , UR/X/M  ,N,4,2025
135 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,EC           ,DIPPPT , 3704,4755 , OBC/X/M ,N,2,2025
136 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,EC           ,DIPPPT ,3089 ,3089 , OBC/X/M ,N,1,2025
137 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,ELECT ELEX   ,DIPPPT ,1604 ,1604 , UR/X/F  ,N,1,2025
138 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,ELECT ELEX   ,DIPPPT , 844 ,1796 , UR/X/M  ,N,5,2025
139 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,MECH         ,DIPPPT ,2401 ,2891 , OBC/X/M ,N,2,2025
140 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,MECH         ,DIPPPT ,3220 ,3220 , OBC/X/F ,N,1,2025
141 ,Bansal Institute of Research & Technology Bhopal (2007), Private ,MECH         ,DIPPPT ,4322 ,4322 , SC/X/M  ,N,1,2025
142 ,Bansal Institute of Research Technology & Science Bhopal (2008), Private ,CIVIL ,DIPPPT ,1614 ,1614 ,OBC/X/F ,N,1,2025
143 ,Bansal Institute of Research Technology & Science Bhopal (2008), Private ,CIVIL ,DIPPPT ,1830 ,1830 , SC/X/F ,N,1,2025
144 ,Bansal Institute of Research Technology & Science Bhopal (2008), Private ,CIVIL ,DIPPPT , 429 ,2447 , UR/X/M ,N,4,2025
145 ,Bansal Institute of Research Technology & Science Bhopal (2008), Private ,CIVIL ,DIPPPT ,3810 ,3810 ,OBC/X/M ,N,1,2025
146 ,Bansal Institute of Research Technology & Science Bhopal (2008), Private ,CSE   ,DIPPPT ,4116 ,4116 , UR/X/M ,N,1,2025
147 ,Bansal Institute of Research Technology & Science Bhopal (2008), Private ,CSEIML,DIPPPT , 980 , 980 , UR/X/M ,N,1,2025
148 ,Bansal Institute of Research Technology & Science Bhopal (2008), Private ,MECH  ,DIPPPT , 445 , 445 , UR/X/M ,N,1,2025
149 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,CIVIL         ,DIPPPT ,1563 ,1563, OBC/X/M ,N,1,2025
150 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,CIVIL         ,DIPPPT ,2888 ,2888, UR/X/F  ,N,1,2025
151 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,CIVIL         ,DIPPPT ,3107 ,3107, UR/X/M  ,N,1,2025
152 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,CSE           ,DIPPPT ,3430 ,3430, SC/X/F  ,N,1,2025
153 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,CSE           ,DIPPPT ,3593 ,3593, SC/X/M  ,N,1,2025
154 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,CSE           ,DIPPPT ,1223 ,3686, OBC/X/M ,N,5,2025
155 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,CSE           ,DIPPPT ,3322 ,4034, UR/X/M  ,N,4,2025
156 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,CSE           ,DIPPPT ,4081 ,4081, ST/X/M  ,N,1,2025
157 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,CSE           ,DIPPPT ,4374 ,4374, UR/X/F  ,N,1,2025
158 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,CSEIML        ,DIPPPT ,1618 ,1618, UR/X/M  ,N,1,2025
159 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,EC            ,DIPPPT ,3869 ,3869, OBC/X/M ,N,1,2025
160 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,EC            ,DIPPPT ,3339 ,3339, SC/X/M  ,N,1,2025
161 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,EC            ,DIPPPT ,3112 ,3112, OBC/X/M ,N,1,2025
162 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,ELECT ELEX    ,DIPPPT ,3868 ,4780, OBC/X/M ,N,2,2025
163 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,ELECT ELEX    ,DIPPPT ,4072 ,4646, SC/X/M  ,N,2,2025
164 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,ELECT ELEX    ,DIPPPT ,2053 ,2541, UR/X/M  ,N,2,2025
165 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,ELECT ELEX    ,DIPPPT , 837 ,3368, OBC/X/M ,N,2,2025
166 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,IT            ,DIPPPT ,2567 ,2567, SC/X/M  ,N,1,2025
167 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,IT            ,DIPPPT ,2299 ,3472, SC/X/F  ,N,2,2025
168 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,IT            ,DIPPPT ,3906 ,3906, OBC/X/M ,N,1,2025
169 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,MECH          ,DIPPPT ,2197 ,2197, UR/X/M  ,N,1,2025
170 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,MECH          ,DIPPPT ,3531 ,3531, OBC/X/M ,N,1,2025
171 ,Bansal Institute of Science & Technology Bhopal (2000), Private ,MECH          ,DIPPPT ,3903 ,3903, SC/X/M  ,N,1,2025
172 ,Bethesda Institute of Technology and Science Gwalior (2011), Private ,CIVIL        ,DIPPPT , 76 ,3694 , UR/X/M  ,N,2,2025
173 ,Bethesda Institute of Technology and Science Gwalior (2011), Private ,CIVIL        ,BSC    ,4007,4007 , OBC/X/M ,N,1,2025
174 ,Bethesda Institute of Technology and Science Gwalior (2011), Private ,CIVIL        ,BSC    ,2680,4772 , SC/X/M  ,N,2,2025
175 ,Bethesda Institute of Technology and Science Gwalior (2011), Private ,EC           ,DIPPPT , 66 ,2995 , UR/X/M  ,N,3,2025
176 ,Bethesda Institute of Technology and Science Gwalior (2011), Private ,ELECT ELEX   ,BSC    ,4172,4172 , UR/X/M  ,N,1,2025
177 ,Bethesda Institute of Technology and Science Gwalior (2011), Private ,ELECT ELEX   ,BSC    ,4237,4237 , OBC/X/M ,N,1,2025
178 ,Bethesda Institute of Technology and Science Gwalior (2011), Private ,ELECT ELEX   ,DIPPPT ,3783,4325 , UR/X/M  ,N,2,2025
179 ,Bethesda Institute of Technology and Science Gwalior (2011), Private ,ELECT ELEX   ,DIPPPT ,3777,4564 , OBC/X/M ,N,2,2025
180 ,Bethesda Institute of Technology and Science Gwalior (2011), Private ,MECH         ,DIPPPT , 376,3822 , OBC/X/M ,N,2,2025
181 ,Bethesda Institute of Technology and Science Gwalior (2011), Private ,MECH         ,DIPPPT , 250,4364 , UR/X/M  ,N,7,2025
182 ,Bethesda Institute of Technology and Science Gwalior (2011), Private ,MECH         ,BSC    ,3076,4561 , OBC/X/M ,N,2,2025
183 ,BHOPAL INSTITUTE OF TECHNOLOGY & MANAGEMENT BHOPAL (2009), Private ,CSE        ,DIPPPT , 881, 908  , UR/X/F  ,N, 2,2025
